1 NAME|2 ROOM|3 IP|4 OS|5 OS version|6 CATEGORY|7 OWNER|8 AUTHORITY|9 BARCODE|10 DESCRIPTION|11 SPARE1|12 SERIAL NUMBER|13 HOSTID|14 HOST STATUS|15 INVENTORY STATUS|16 FIREWALL|17 TRUSTLEVEL|18 RACKINFO|19 POWER UP|20 SUPPORT TEAM|21 UUID|22 COMMENTS
grd102b|ATH102|129.128.4.144|Linux|WPS Ubuntu 16.04|regular|dept|tst|545609|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW59||CLEAN|active|OK|||5|WPS|6c7424c9-7f1e-4b81-95a7-9b6a1b0a13a9|
grd105|ATH105|129.128.4.19|Linux|WPS Ubuntu 16.04|regular|dept|tst|545576|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW38||CLEAN|active|OK|||5|WPS|f3126040-ac66-48a0-8421-bc4707255d62|
grd106|ATH106|129.128.4.27|Linux|WPS Ubuntu 16.04|regular|dept|tst|545621|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNX33||CLEAN|active|OK|||5|WPS|affebbe1-f081-4fe5-a05d-65d84e8d70a7|
grd107|ATH107|129.128.4.34|Linux|WPS Ubuntu 16.04|regular|dept|tst|545581|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNX22||CLEAN|active|OK|||5|WPS|fcdbecdb-61d5-42d7-8ccd-e751d6956d67|
grd108|ATH108|129.128.4.35|Linux|WPS Ubuntu 16.04|regular|dept|tst|545590|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW41||CLEAN|active|OK|||5|WPS|478427c5-4d92-4f8a-9b7a-f06bb6ad490f|
grd109|ATH109|129.128.4.37|Linux|WPS Ubuntu 16.04|regular|dept|tst|545592|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNX51||CLEAN|active|OK|||5|WPS|fe8bd32a-f865-4d75-b946-a7b68709a970|
grd111|ATH111|129.128.4.40|Linux|WPS Ubuntu 16.04|regular|dept|tst|545602|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNX36||CLEAN|active|OK|||5|WPS|2c485740-5fd4-4b81-9c97-a7b26ff77143|
grd113a|ATH113|129.128.4.41|Linux|WPS Ubuntu 16.04|regular|dept|tst|545614|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW95||CLEAN|active|OK|||5|WPS|98f31761-7bc5-4154-a07a-9a727adab5f1|
grd113b|ATH113|129.128.4.42|Linux|WPS Ubuntu 16.04|regular|dept|tst|545591|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNX42||CLEAN|active|OK|||5|WPS|f9d352ee-538e-4544-9a91-1813047c686b|
grd117|ATH117|129.128.4.51|Linux|WPS Ubuntu 16.04|regular|dept|tst|545612|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW30||CLEAN|active|OK|||5|WPS|2600486b-9d8b-4ce4-804f-016aae00ef82|
grd120|ATH120|129.128.4.59|Linux|WPS Ubuntu 16.04|regular|dept|tst|545585|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNX48||CLEAN|active|OK|||5|WPS|d9630b09-c65e-4046-bbaa-29f335a552db|
grd121|ATH121|129.128.4.58|Linux|WPS Ubuntu 16.04|regular|dept|tst|545623|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW78||CLEAN|active|OK|||5|WPS|4c284633-8196-4d62-b66b-cfe9dbb19c6c| 
grd123|ATH123|129.128.4.63|Linux|WPS Ubuntu 16.04|regular|dept|tst|545595|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW77||CLEAN|active|OK|||5|WPS|2ab1c976-37e5-4b53-9931-ba37066881cc|
grd124|ATH124|129.128.4.64|Linux|WPS Ubuntu 16.04|regular|dept|tst|545607|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW58||CLEAN|active|OK|||5|WPS|3f9b8d2c-f148-4d74-aa95-375f0f639706|
grd128a|ATH128|129.128.4.65|Linux|WPS Ubuntu 16.04|regular|dept|tst|545586|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW49||CLEAN|active|OK|||5|WPS|3909df78-f996-4c67-a046-c806ac5989af|
grd134|ATH134|129.128.4.74|Linux|WPS Ubuntu 16.04|regular|dept|tst|545605|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW89||CLEAN|active|OK|||5|WPS|280c6358-a97e-4671-8701-7ebe48a3c9f5|
grd135|ATH135|129.128.4.78|Linux|WPS Ubuntu 16.04|regular|dept|tst|545603|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW55||CLEAN|active|OK|||5|WPS|edc66585-ecc4-4201-97c0-cda9d11dd841|
grd136|ATH136|129.128.4.83|Linux|WPS Ubuntu 16.04|regular|dept|tst|545606|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW75||CLEAN|active|OK|||5|WPS|6eaaed00-a930-492e-b380-c1023f319fcb|
grd137|ATH137|129.128.4.85|Linux|WPS Ubuntu 16.04|regular|dept|tst|545597|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW54||CLEAN|active|OK|||5|WPS|9913620a-5ea6-410d-b19a-7f5c73dff08b|
grd138|ATH138|129.128.4.88|Linux|WPS Ubuntu 16.04|regular|dept|tst|545577|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW44||CLEAN|active|OK|||5|WPS|a4eaa981-a49c-4833-b8c3-bd85be47aaf3|
grd139|ATH139|129.128.4.89|Linux|WPS Ubuntu 16.04|regular|dept|tst|545587|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW46||CLEAN|active|OK|||5|WPS|9821f9cb-f1a6-4ab3-93b0-c1715cdc6a7e|
grd140|ATH140|129.128.4.90|Linux|WPS Ubuntu 16.04|regular|dept|tst|545616|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNX39||CLEAN|active|OK|||5|WPS|41c03fa6-8942-47a3-aee4-ada8eabbde32|
grd141|ATH141|129.128.4.107|Linux|WPS Ubuntu 16.04|regular|dept|tst|545618|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW76||CLEAN|active|OK|||5|WPS|92b53812-3bfc-4455-ab00-3b70396f3517|
grd143b|ATH143|129.128.4.109|Linux|WPS Ubuntu 16.04|regular|dept|tst|545584|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNX38||CLEAN|active|OK|||5|WPS|dd0e4629-d959-4a85-8b8a-bc5295c78b38|
grd150|ATH150|129.128.4.112|Linux|WPS Ubuntu 16.04|regular|dept|tst|545620|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW57||CLEAN|active|OK|||5|WPS|1c1cdfd6-5551-4d9f-81c3-099500efad25|
grd151|ATH151|129.128.4.115|Linux|WPS Ubuntu 16.04|regular|dept|tst|545611|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW33||CLEAN|active|OK|||5|WPS|3758b704-f8fb-4a8d-ad19-845fb0a1cdd4|
grd152|ATH152|129.128.4.117|Linux|WPS Ubuntu 16.04|regular|dept|tst|545615|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW62||CLEAN|active|OK|||5|WPS|30398be4-0e9e-46ee-bb88-1ae3ad2592d1|Currently in CSC 132
grd153|ATH153|129.128.4.116|Linux|WPS Ubuntu 16.04|regular|dept|tst|no-tag|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW50||CLEAN|active|OK|||5|WPS|c96004ff-8f2b-465e-9e49-b69efae267f1|
grd154a|ATH154|129.128.4.118|Linux|WPS Ubuntu 16.04|regular|dept|tst|545601|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW91||CLEAN|active|OK|||5|WPS|ed854c5b-599c-4d9b-bcca-51f1b0bf8232|
grd154b|ATH154|129.128.4.122|Linux|WPS Ubuntu 16.04|regular|dept|tst|545624|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNX50||CLEAN|active|OK|||5|WPS|6aaec4ac-452c-43df-a060-07f3f5cc3ca4|
grd155b|ATH155|129.128.4.125|Linux|WPS Ubuntu 16.04|regular|dept|tst|545604|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW40||CLEAN|active|OK|||5|WPS|e91a423a-0e1d-4bb5-8ce1-3b6b24015bc3|
grd211a|ATH211|129.128.4.49|Linux|WPS Ubuntu 16.04|regular|dept|tst|no-tag|Dell OptiPlex 990||5145JS1||CLEAN|active|OK|||5|WPS|5bcdb484-a950-4eca-9a73-b4c8e91b5de7|
grd211b|ATH211|129.128.4.53|Linux|WPS Ubuntu 16.04|regular|dept|tst|549704|Dell OptiPlex 990||5113JS1||CLEAN|active|OK|||5|WPS|64bf907b-daea-43d3-801c-d5736faf79d1|
grd211c|ATH211|129.128.4.62|Linux|WPS Ubuntu 16.04|regular|dept|tst|549757|Dell OptiPlex 990||514GJS1||CLEAN|active|OK|||5|WPS|5b8780e0-0d20-46f6-a19c-8f16fe209bcf|
grd323a|CSC323|129.128.4.11|Linux|WPS Ubuntu 16.04|regular|dept|tst|549762|Dell OptiPlex 990||5127JS1||CLEAN|active|OK|||5|WPS|0a3290de-bc8a-4470-be81-35abdf2f2a74|
grd323b|CSC323|129.128.4.13|Linux|WPS Ubuntu 16.04|regular|dept|tst|549757|Dell OptiPlex 990||516DJS1||CLEAN|active|OK|||5|WPS|ed89e472-41f7-4220-8cb4-eed8a45f152c|
grd323c|CSC323|129.128.4.17|Linux|WPS Ubuntu 16.04|regular|dept|tst|549714|Dell OptiPlex 990||5155JS1||CLEAN|active|OK|||5|WPS|f8e49d61-3021-4bb9-b483-f89b63a66962|
grd323d|CSC323|129.128.4.21|Linux|WPS Ubuntu 16.04|regular|dept|tst|549700|Dell OptiPlex 990||5137JS1||CLEAN|active|OK|||5|WPS|b5b61a07-ded2-4b81-8a39-6040bc6f000f|
grd323e|CSC323|129.128.4.22|Linux|WPS Ubuntu 16.04|regular|dept|tst|549756|Dell OptiPlex 990||5169JS1||CLEAN|active|OK|||5|WPS|5fbe20a6-71e4-49b7-b11f-ddf278925f0f|
grd323f|CSC323|129.128.4.32|Linux|WPS Ubuntu 16.04|regular|dept|tst|549687|Dell OptiPlex 990||5144JS1||CLEAN|active|OK|||5|WPS|54be717d-84f0-402d-8e3f-05ca40e988a1|
grd323g|CSC323|129.128.4.54|Linux|WPS Ubuntu 16.04|regular|dept|tst|549681|Dell OptiPlex 990||5158JS1||CLEAN|active|OK|||5|WPS|9d67530e-c8e7-49ab-8a22-7461c5fdfcd8|
grd323h|CSC323|129.128.4.48|Linux|WPS Ubuntu 16.04|regular|dept|tst|549753|Dell OptiPlex 990||50Y7JS1||CLEAN|active|OK|||5|WPS|6d82a882-3f23-4462-8315-e0b31b970f78|
grd418|ATH418|129.128.4.135|Linux|WPS Ubuntu 16.04|regular|dept|tst|545596|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW73||CLEAN|active|OK|||5|WPS|a88cdd85-3393-4ac3-95d8-af125382e97f|
grd420|ATH420|129.128.4.134|Linux|WPS Ubuntu 16.04|regular|dept|tst|545610|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNX34||CLEAN|active|OK|||5|WPS|579ae79d-11ec-4f2f-bc73-40f6ca3917d1|
grd422|ATH422|129.128.4.136|Linux|WPS Ubuntu 16.04|regular|dept|tst|545622|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW26||CLEAN|active|OK|||5|WPS|a3dac4eb-e525-400f-bb99-22dac42947be|
grd424|ATH424|129.128.4.139|Linux|WPS Ubuntu 16.04|regular|dept|tst|545619|Lenovo M7484 Intel Core 2 Duo E8400 3.0GHz-8192||MJPNW35||CLEAN|active|OK|||5|WPS|570fccd0-45e0-4cec-9bbb-bbf6b688c303|
gregoire|CSC351|129.128.25.56|Windows|7|regular||mpolak,zhang|586207|Xeon E5-2620-32768||8X2G7Y1||CLEAN|active||||5||d409ede3-a89a-4c92-a6c2-2ade8f412248|
groot|CSC265||Windows|10|regular||yang|604054|Alienware Aurora R5, Core i7, 16 GB RAM, 2TB HD 7.2k RPM, GTX 970||3DKQSD2||CLEAN|active|OK|||5||6ee28f06-0020-49bb-8d29-acb0216b508d|on UWS
gwang|ATH211|129.128.184.138|Windows|10|regular|jiaji|jiaji||Memory Express - i7-7700 - 16GB RAM - 1 TB HD||12124490||NOP|active||||5||732e3d16-1167-49de-a886-a18ec60ffe23|For the PFM scheduling group
gwynne|CSC139|129.128.41.233|Linux|RHEL Server 5.11|regular|dept|tst|549726|Dell PE 510 Xeon E5503/2.00GHZ-8164||GSV6HS1||CLEAN|surplus|||A|5|SA1|b8946787-3a58-4329-b8f3-31250473eca3|RHN# 1023758513
hamlin|ATH347|129.128.4.159|||printer|ath347|goebel||Dell 3100c||1FL7991||CLEAN|active||||5||d4352f07-3fb9-4928-b366-e6364b4a1cd0|Printer
hanna|CSC315||||regular|dept|dept|no-tag|Dell Vostro 430, Core i7-860 @ 2.80 GHz, 8GB RAM||9CQQPL1||CLEAN|spare||||5||1233996d-03f3-41ef-8f2a-c6f12157fcc2|
hardisty|CSC145|129.128.29.245|Linux|WPS Ubuntu 16.04|regular|dept|tst|538268|HP dc7900 Core2 Duo @ 3.16 GHz - 4G||CAC91501SM||CLEAN|stalled||||5|WPS|9bce2f68-4aec-4e5e-b1e1-beee4804f684|Consulting Room machine for TA to ugrad consulting
harry|CSC225|129.128.184.102|dual-boot|Win10/Ubuntu16.04|regular|locheng|locheng|604108|||14265008P||NOP|active||||5||23606412-0c2d-4ea9-80a4-b451e90dc280|MRC grad lab machine
hasketh|CSC251|129.128.184.9|||wildwest||eochoa|no-tag|FPGA||||NOP|active||||5||0bd54371-807a-42f0-bde8-2aa0c33e6e1a|test FPGA
haylake|ATH252B|129.128.23.34|||printer|ath252b|tst||HP P2015dn||CNBJL27387||CLEAN|active||||5||632e2b3c-1c8b-4b21-9470-291b0f2cc8b5|Printer
heisler|CSC305A|129.128.22.159|Linux|Fedora Core 6 (Zod)|cluster||mmueller,hiso,steve||Opteron/DP248-5055||SKPLF2??||CLEAN|active|OK|||5||1c03592f-e444-4b3a-a38d-2eccabe3f46a|Steve handles. Currently powered off (Jan 2018).
heldar|CSC305A|129.128.22.40|||cluster||steve||Opteron/2354-8192||6001175||CLEAN|active|OK|||5||396c0268-9fc2-4620-a7bc-744234d98e8b|Steve will handle
hoeth|GSB175|129.128.243.10|Linux|Ubuntu 18.04 LTS|regular|yannis|yannis||HP ProLiant ML350 G10 877622-001||MXQ85201T5||CLEAN|active|||F16|5|SRIT|a0a9c846-a652-4102-9c26-ef8bb430b79f|
hermione|CSC225|129.128.184.104|dual-boot|Win10/Ubuntu16.04|regular|locheng|locheng|604106|||14265015P||NOP|active||||5||5894ef79-ef4b-4b94-be14-d1846e335ee8|MRC grad lab machine
highvale|ATH437||||printer|cs311|netgroup||LaserJet 2200dn||||CLEAN|active||||5||8cf76811-8faf-4417-8555-c972b90f5655|Printer - Not in use anymore
himalaya|CSC353|129.128.25.27|Linux|Ubuntu 14.04|regular|dana|dana,jag|510082|||||NOP|active||||5||b0dba431-a35b-4ec1-a9dc-780846e6594b|This is an old case that was reused, so the UofA tag and S/N aren't really very meaningful
hip-p1||129.128.23.247||||||||||||retired||||5||afe00bc4-6051-45cd-8c55-36a73d4d0919|Reserved for High School Intern Program
hip-p2||129.128.23.233||||||||||||retired||||5||320764ef-b5da-46c6-a403-f143f21d351e|Reserved for High School Intern Program
hip-p3||129.128.4.31||||||||||||retired||||5||26436c6d-a48d-4366-a056-9e79fd3f79dd|Reserved for High School Intern Program
hoadley|CSC323?|129.128.25.17|||printer|cs323|mn,zaiane|439711|HP LJ2200dn||JPGGC57046||CLEAN|active||||5||98576b02-684c-4dbe-b27c-cb57397570d7|Printer
holden|ATH234|129.128.23.35|||printer|ath234|tst|497726|HP LJ2420DN||SCNGKC29979||CLEAN|active||||5||b46e320d-3ef4-42b0-8b01-f5609753dc94|Printer
horse-rv|CSC351|129.128.184.63|Linux|Ubuntu 14.04|regular||mpolak,zhang|no-tag|Opti/E8400-4096||5SF71J1||NOP|active||||5||14646b80-50ec-49d3-afef-839b376366e7|on the wildwest
hotchkiss|CSC225|129.128.23.25|Windows|10|regular||lin,anup|361516|i7-4790,3600 16Gb||JD7TV52||CLEAN|active|OK|||5||b1cd96d8-cbce-41d6-a192-18474b732ea5|Dual boot with Ubuntu 14.04
hpbbd08d|ATH404|129.128.4.92|||printer|ath404|kulchits||HP Officejet Pro 6830 e-All-in-One||TH615820FH||CLEAN|active||||5||9006d992-92d0-4a22-b7fa-ba2e355e2010|Printer
huallen|ATH317|129.128.23.43|Windows|7|regular|dept|tst|505406|Intel Core 2 6600 @ 2.40GHz-8192||14027046P1||CLEAN|active|OK|||5||195c7a11-623a-443c-b39c-7a376351e69c|Charles custom build for TASK0068006
huxley|ATH358|129.128.4.162|||printer|ath358|duane|420190|HP LJ2100||USGW078494||CLEAN|active||||5||d9c994f7-9b78-421a-a3b4-29dd37df588c|Printer
hy2gsdjh2|CSC265|129.128.184.66|dual-boot|Ubuntu 16.04/Windows 10 Education|regular||yang|707649|Precision T5810, Intel Xeon E5-1650v4, Dual Nvidia Quadro M4000, 16GB RAM||2GSDJH2||NOP|active||||5||ed2a7a15-1799-4140-97e2-70b03c9522b1|
hylo|CSC251|129.128.184.10|||wildwest||artemcm|no-tag|FPGA||||NOP|active||||5||e1ecd0d5-1ff6-4a94-80b4-1ff0249fde6c|test FPGA
hypatia-old|GSB175|129.128.243.134|Linux|RHEL Server 5.6|regular||stroulia||Xeon E5410QC/2.33-16384||SM40682||NOP|active|||F17|5||d29bd805-4cf1-40d1-9e8d-ca56fc38a77f|on the wildwest
icdm2011|webdocs|129.128.184.25|||virtual||||||||CLEAN|active||||5||e6cee682-1e03-4551-a41a-e00efbfe3a09|Virtual Web Host on webdocs
idamay||129.128.23.109||||||||||||retired||||5||a1e45a40-37d0-4e80-9080-175b713a923a|
iddesleigh||129.128.23.106||||||||||||retired||||5||1cae1712-031d-4115-a7a5-8fcc5538e011|
idm|||Linux|RHEL Server 5.8|virtual||greiner|NA||||||off||||5||a6c19520-8914-4724-9fed-cfe232e940ed|SN CHG0028135
innisfree|GSB175|129.128.21.245|Linux|WPS Ubuntu 16.04|regular|dept|tst||Dell PE R300 Xeon X3323/2.5GHz||C419MJ1||CLEAN|active|OK||F17|5|SA1|15b68bbd-c9e8-4896-afe1-304ffc411b8b|
intranet-dev|launch-dev||Linux|Slackware 12.2.0|alias|dept|gordon||||||CLEAN|retired||||5|SA1|c5f7ec19-d820-4be7-bad4-8e1a41586c9a|
intranet-prod|IST VM|129.128.21.35|Linux|Ubuntu 16.04|virtual|||NA|VM|||||active||||5|SA1|3d5d2fcb-2bc0-4334-abdf-e26b6f1c2749|
intranet-test|IST VM|129.128.21.11|Linux|Ubuntu 16.04|virtual|||NA|VM|||||active||||5|SA1|eadb8ac6-558c-4f4d-8118-2eb4e2583559|
intranet|intranet-prod|129.128.21.35|Linux|Ubuntu 16.04|alias|||NA|VM|||||active||||5|SA1|16778aeb-dc25-4951-966e-a0be5b24a528|CNAME to intranet-prod
ipiatik||129.128.23.251||||||||||||retired||||5||b1fedddd-ecdb-4a6e-852f-0247f60905e5|
irma|ATH329|129.128.23.17|Windows|7|regular|smillie|dept||Lenovo M74 84 Intel Core 2 Duo E8400 3.0GHz-8192||||CLEAN|active|OK|||5||b603ff44-a6e2-481c-9ac8-ced9376aefb0|NEW not in place yet - physaddrs NIC 1
iron-riv|ATH335|129.128.29.242|Linux|WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 755||CYLQRH1||CLEAN|active||||5|WPS|f475187c-44d4-4830-a29e-7ba349d0f16e|
irricana|CSC329|129.128.4.248|Linux|WPS Ubuntu 16.04|regular|dept|tst|527266|MacPro 2*2.8GHz-16384||G88223LGXYK||CLEAN|active|OK|||5|WPS|04d15315-b9bd-4ef8-8a6d-2c783dede5d6|
islay||129.128.29.240||||||||||||retired||||5||1367d452-de19-4f91-8252-d1f0696d0a37|
j5qg482|ATH252B|129.128.16.13|Windows|7|regular|kgdean|dept|605665|Optiplex 7040||J5QG482||CLEAN|active|OK|||5||3179fe38-c9d9-473b-b015-2510fc2a5fab|
j62g482|ATH237|129.128.16.9|Windows|7|regular|kasorens|dept|605661|Optiplex 7040||J62G482||CLEAN|active|OK|||5||fa763ec0-f011-47c1-a7a0-f0838dc061ef|
